gene_name	Ctrl	As	Bs	Hyp	Li	Nd	Ns	Oss	Oxs	Sp	Tm	Vic
CjNC9-Campylobacter	0	-0.4913482762877761	0.2081873522675073	0.3472980171423874	0.03625149049675702	-0.20107126803599318	-0.48733445054058944	-0.5090439286027797	-0.10298747002183273	-0.028085803242616336	-0.11098057057496913	0.44932899498329704
CjNC11-Campylobacter	0	-0.38437708508187374	0.2341777229902835	0.06553222319338659	0.5869198757451466	-0.1513654726273037	0.06797464290943012	0.29491305281965996	0.1415471247263369	-0.5306717834111003	-0.18379684335837698	0.038000202081416745
CjNC1-Campylobacter	0	0	0.33444479229025026	0	0	0	0	0.22643106039129002	0.18214042161391353	0	0.24971179603930693	0.08750978715159352
CjNC10-Campylobacter	0	-0.17413405732860987	-0.6109185957538736	-0.1351257828531338	0.31029123974589723	-0.09943428130314302	0.18757013248109722	0.029766104909374036	-1.1103796753131263	-0.6705197400956537	-1.4567111527711463	-0.5794939126499097
TPP-Campylobacter	0	0.07644115677586338	-0.3120656653718301	-0.09186795574976658	-0.05202361766137997	-0.3180871410621702	-0.065449506163207	-0.3919839510954035	-0.20125111235069681	-0.030842761395436735	-0.18988628009915987	-0.28463415932175673
CJnc70-Campylobacter	0	-0.5040931099030197	0.1579503907158104	-0.20336977323040628	0.3178300234000142	0.11759577250050679	0.2873782424857705	0.5957938081599075	0.8059467923424171	0.27091530251559703	0.22500099023955755	0.22360157008910786
CJnc80-Campylobacter	0	-0.6328717081335964	-0.1704987970137033	-0.16122268664711292	-0.23129692225793974	0.2307293377486439	-0.5634860906782233	-0.34179754255124006	0.038346596008220324	-0.04549764977995663	-0.13986434458956643	-0.0018141851881297022
CjNC14-Campylobacter	0	-0.19607359855326711	0.04455359725108954	-0.31713726950377374	-0.3201887827910004	-0.2109881449229669	-0.29189984771276345	-0.19782272076713392	0.055472457983019474	-0.488211402389477	-0.3299100902798404	0.04824267852060293
CjNC15-Campylobacter	0	0	0.19565445790032987	0.1690391805589333	0.19784461894603655	0.5591430290795834	0	0.22643106039129002	0.329297919414417	0	0.39808798617631336	0.5784975754524169
CjNC18-Campylobacter	0	-0.30577774297214333	-0.08804007102664002	-0.44718926188428654	-0.22123801726915016	-0.42192928183815326	0.4137710802891439	-0.49691389370658046	-0.15465948200816992	-0.14678981764483012	-0.34911569568203005	-0.2487728977155066
6S_RNA-Campylobacter	0	-0.6671627973544005	1.3385173558217662	-0.2559386532802339	-0.3729546932465002	-0.5135429760707328	0.0031009655308000816	-0.9938664623082332	-0.6554957638687995	0.5244435754498991	-1.313160507716967	-0.847624959559667
CjNC3-Campylobacter	0	0.01841668778089023	0.8589291101803731	0.21512684187230313	1.286589831887663	-0.03128339022680038	0.6092193919532329	-0.5649786173744964	0.8674844032483131	-0.08982314679017644	0.07453255503239653	0.4848444817363431
CJnc160-Campylobacter	0	-0.10325993496740304	-0.24548777126075327	0.13677749560455021	0.2893035701517266	0.6105540631969402	0.16038189993017005	-0.08464446033535333	0.14598421983506693	0.05756603280914341	0.7824063167007602	0.22562535951096674
CjNC4-Campylobacter	0	-0.24548777126075327	-0.24548777126075327	-0.24548777126075327	-0.24548777126075327	-0.24548777126075327	-0.03387431751202996	-0.24548777126075327	-0.025233086774896663	-0.24548777126075327	-0.24548777126075327	-0.15797798410915975
CjNC23-Campylobacter	0	0.20006577230673672	0	0	0.33809267480156	0	0.19631155467671357	0	0.6575745781172766	0	0.1121874276152699	0.2129071226950101
sRNA7619-Salmonella	0	-0.8927340085064235	-0.4979309400467202	-0.5665846876065035	-0.8463369575890702	-0.1258482591336736	-0.7999448374282103	-0.46117648619663365	-1.1368774314059302	-0.5935296207511369	-0.0386271620884302	-0.70277700433929
STnc890-Salmonella	0	0.5853893126014866	0.15510848417472345	0	0.17625053152549675	0	0	0.3497825083603634	0.6252506858206734	0.2433013307516032	0.2633505513633634	0
STnc3090-Salmonella	0	0.2892743764542334	0.2900798563959035	0.2991156252714968	0	0.24229544327852004	0	0.981149063418393	0.37721274261814	0.34896627679589676	0.4620867675677367	0
DapZ-Salmonella	0	0.24776887360829303	-0.45139449431678	-0.36766412187062336	-0.8243966039942199	1.88422710783365	-0.4823662180606534	-0.28023089238136656	0.12264184020724667	0.40038355072566656	-0.05048530538656326	0.5923843101308166
sRNA93879-Salmonella	0	-0.10631173209577627	-0.07259285394267989	-0.4725875998094331	-0.4725875998094331	-0.21235125309238967	0.38360905545350343	0.5980428029328433	-0.4725875998094331	0.34894322622731355	0.09657710857575363	-0.4725875998094331
STnc470-Salmonella	0	0.40169391773937013	0.4905285841179734	-0.045044655482446405	0.27203685367547026	0.32711244780678017	0.06994084654198662	0.7276456691499069	0.13642266432481343	0.43121277761756005	0.5929737862229532	-0.38491167684950645
SroA-Salmonella	0	-0.7376989957603932	-1.3923033789203063	-1.2993878105670897	-1.2686052293249297	-1.2885013637585563	-0.9934399578689868	-1.34114537617728	-0.6881562747919165	-2.030975517763903	-0.7790972564596634	-0.9001696731999429
SgrS-Salmonella	0	-0.07099906892018293	-0.9446138094908463	-0.048238829165623276	-1.0527384061316662	-0.3100793376976063	-1.0240033145504799	0.15744481356227702	-1.1224139528954895	0.24474630950062082	-0.5869006650726964	-0.41223833602663307
sRNA128997-Salmonella	0	0.6612185244317432	1.410862722816903	0.2991156252714968	0.17625053152549675	1.7223562727110933	0.8174833476714332	0.5111204930029865	0.42330407370849343	1.3723447014025099	0.5377215397061832	0
sRNA157877-Salmonella	0	2.090813343885373	1.5277837519263935	2.0242008374320934	-0.005249764435716564	2.478187933997854	1.1871273806006868	2.4443913735076737	2.081256037552397	0.77117867875161	1.2277275741948332	0.7430927300929033
tp2-Salmonella	0	0.7607314718325799	0.19348379827297002	0	0.46891704034532333	0.26023634671704343	0.5754474711191935	0.49250391615919975	0.6724383247990033	0	0	1.0420939450491864
sRNA201302-Salmonella	0	0.33242580599497007	0	0	0	0	0	0.13469819733779675	0	0	0	0
sRNA215306-Salmonella	0	1.4716155377300733	0.1895631696371165	0	0.6149048924131031	0	0	0	0	0	0	0
STnc3250-Salmonella	0	1.2332962816578235	-0.2806976189621997	-0.4345382204945265	3.0528405527544864	4.687336261674271	4.103485848759271	-0.9078738739727834	5.221776467546127	-0.6096860017701595	-0.33128566381097	0.323806411106613
sRNA229689-Salmonella	0	0.9829939220554098	0.3570805917297135	0	0	0	0	0.23181651853544993	0.1941570212090431	0	0	0
STnc3100-Salmonella	0	0.33768509898930343	0	0	0	0	0.37490892662198316	0	0.3105266243442335	0	0	0
sRNA253928-Salmonella	0	-0.09133396754000644	-0.8592374653938095	-1.3099089784976163	-0.665649780365893	0.24903050940595683	-0.8314941869643131	-0.5245948062462267	-0.09746063340892297	-0.6640351656679129	-0.06857469861685317	-1.3099089784976163
t44-Salmonella	0	1.7063614370668825	-0.188703506510004	-0.25636865334042014	-0.48131227408357447	-1.8498255500075937	1.077444005082823	-0.116970394282367	-0.5433482312753508	-0.3465052693418169	-0.14134218342830085	2.359290947550633
sRNA255259-Salmonella	0	0.2506057189691502	0.7136527756774167	-0.7914528852697331	-0.14719368713800973	-0.7914528852697331	0.22128174400716327	0.13295868255358334	0.2752696150928138	-0.5481515545181299	-0.11930911283346335	-0.08457581439081974
sRNA257035-Salmonella	0	0.1686760429009333	0.27184284293333016	0	0.5994686719298601	0	0	0.10750902523848338	0	0	0	0
sRNA1-Salmonella	0	0.1686760429009333	0	0	0	0.1722248350537099	0	0.15172742697677655	0	0.34896627679589676	0	0
STnc920-Salmonella	0	-0.36128820142893314	-0.3101066947393667	-0.016316386854350107	-1.303717129068203	-0.5597897862955863	-2.2587590857481397	-1.1098859455256163	-2.307865065770536	-0.555993252727423	0.02805156920175733	1.494571137010837
sRNA266462-Salmonella	0	-0.51077737289555	-0.51077737289555	-0.51077737289555	-0.51077737289555	-0.04622818153969677	-0.51077737289555	-0.40326834765706665	-0.51077737289555	-0.51077737289555	-0.51077737289555	-0.51077737289555
sRNA289055-Salmonella	0	1.2806876315620297	-0.4281605953707004	-0.069876525792127	-0.8822484392917636	-0.6235012715089239	-1.7389979724469136	-0.31443851443457405	-0.86700818842281	-2.9955416751831137	-0.5885007341115172	1.7818178929790536
sRNA294677-Salmonella	0	0.4488439015063266	-0.38491167684950645	-0.38491167684950645	-0.38491167684950645	-0.38491167684950645	-0.38491167684950645	-0.38491167684950645	-0.38491167684950645	-0.38491167684950645	-0.38491167684950645	-0.38491167684950645
STnc1030-Salmonella	0	0.23735215027278667	0.5862947935734	0	0.7963006985896399	0.5035279871602234	0.32891712133914996	0.9145975368234001	0	0.34896627679589676	1.0546395207447468	0
sRNA361912-Salmonella	0	-0.6177494008730031	-0.5650216947498863	-0.8551015511457898	-0.8551015511457898	-0.8551015511457898	-0.8551015511457898	-0.4059569835350967	-0.8551015511457898	-0.8551015511457898	-0.8551015511457898	-0.8551015511457898
STnc1700-Salmonella	0	2.3218198532133405	0.2973598931495367	0.024097444557776626	0.758311525252557	-0.6802696466788762	0.5556671114058869	2.0552495207086166	-0.6539866246420196	-1.150984825060453	0.8785999208701933	-1.150984825060453
STnc4150-Salmonella	0	1.5791215195118466	0	1.4337325194036001	0	0.1722248350537099	0	0.45228931927690974	0	0.6090697779766501	0.4055056407263802	0.7972402425881966
sRNA437524-Salmonella	0	0	0.19348379827297002	0	0	0.6504016756210702	0.22005221222348315	0.10750902523848338	0.1941570212090431	0.2433013307516032	0.2633505513633634	0
