gene_name	Ctrl	As	Bs	Hyp	Li	Nd	Ns	Oss	Oxs	Sp	Tm	Vic
CjNC9-Campylobacter	0	-0.05022115957723639	0.014831466434824088	0.027110735346727054	0.01427671311688715	-0.018839359965187718	-0.049256703191084196	-0.046746018270362864	-0.013902671565466223	0.003787896420779412	-0.004534370446239757	0.03863832437352816
SRP_RNA_Cjs03-Campylobacter	0	-0.023771325532292078	-0.04912161247179114	-0.06576152701972918	-0.07322049322119281	-0.06353478568263775	-0.04198181955224585	-0.005257266377591768	0.002728893409304234	-0.04212608246822721	-0.11710281959259863	-0.048286727463992804
CjNC11-Campylobacter	0	0	0.016029416854076915	0	0	0.019554495498427086	0	0.04403584442447551	0.008950171455630575	0	0.01755721439032014	0.027968121168007242
CjNC1-Campylobacter	0	0	0.02896091797321853	0	0	0	0	0.01947315808678976	0.015586761276018083	0	0.02146319967912612	0.007498809048696808
CjNC10-Campylobacter	0	-0.025868142826446568	-0.07534345096002962	-0.015047239096813266	0.03870456241538041	-0.014728372973769287	0.023256767105187252	0.003418603298772584	-0.13497994407317734	-0.08405868010791379	-0.17316804605704889	-0.07240723036246328
TPP-Campylobacter	0	-0.01792394766778715	-0.0213955279670119	-0.0026944560913130635	6.417713229889664e-4	-0.025656216958247397	-5.391022466542871e-4	-0.04212920578439288	-0.012150259356607263	-0.020842566475527242	-0.015083428978230068	-0.01922279143337392
rnpB-Campylobacter	0	0.031054699562232158	-0.015811313681234198	0.01459413525043037	0.05120252706137361	-0.029768010186856323	0.05347261504180533	0.012618550594346422	-0.05308452526499539	0.12583593331435244	-0.1090333995124155	-0.058838038637937365
CjNC13-Campylobacter	0	-0.0484127620547314	-0.041478029079019964	-0.05740145914745904	-0.04241555037185218	-0.042487193374797234	-0.06965929079616592	-0.06703328589219812	0.035398113441553164	-0.10846697003429052	-0.0686874039993148	-0.06004803833112256
CjNC14-Campylobacter	0	-0.04175696793444406	-0.004439859654114933	-0.027092963720378574	-0.027345786886260087	-0.018116519427037334	-0.024907219535310922	-0.016731268230399256	0.004546167183873197	-0.04175696793444406	-0.02819704279529606	0.006021838595099609
CjNC15-Campylobacter	0	0	0.05293942867210768	0.0145188575291612	0.01704485473066226	0.052674585464723214	0.01684974839913316	0.01947315808678976	0.031218504551354692	0	0.033942803014419036	0.04799483208201715
CjNC18-Campylobacter	0	-0.025707806194996873	7.929551162278894e-4	-0.03179490861609036	-0.01833393861923823	-0.022948423453853697	0.03698687236182928	-0.041762769134531426	-0.006282335344710877	-0.009403146198210172	-0.03316446037040182	-0.021060849244599077
6S_RNA-Campylobacter	0	-0.0017597515023427355	0.15570816099691506	0.013762432118578647	0.021582633944442712	-0.01948718463819103	0.02609022357198935	-0.05722684036659899	-0.04026982328995225	0.11238676947695493	-0.11275954899140582	-0.04775159328933701
CjNC3-Campylobacter	0	-0.01656348685248875	0.08715531974345707	0.017914854539503974	0.14537771193794602	-0.0068996951819314135	0.06964441000629035	-0.05183761081263614	0.09348335955375972	-0.009119964160154072	0.006862451347051411	0.04838099466657705
